"population","spawn_year","sex","origin","age_best","fork_length","weight","fecundity","disposition"
"CAT",2011,"F","Nat",4,766,4.19999980926514,3514,"S"
"CAT",2011,"F","Nat",4,788,4.55000019073486,4181,"S"
"CAT",2011,"F","Nat",4,750,4.25,4339,"S"
"CAT",2011,"F","Nat",4,720,3.54999995231628,3768,"S"
"CAT",2011,"F","Nat",4,758,4.09999990463257,3545,"S"
"CAT",2011,"F","Nat",4,736,3.90000009536743,4463,"S"
"CAT",2011,"F","Nat",4,651,2.29999995231628,2259,"S"
"CAT",2011,"F","Nat",4,742,3.90000009536743,4076,"S"
"CAT",2011,"F","Nat",4,655,2.90000009536743,2931,"S"
"CAT",2011,"F","Nat",4,745,4,4092,"S"
"CAT",2011,"F","Nat",4,750,4.09999990463257,4263,"S"
"CAT",2011,"F","Nat",4,842,5.5,4855,"S"
"CAT",2011,"F","Nat",4,727,4.09999990463257,4107,"S"
"CAT",2011,"F","Nat",4,735,3.59999990463257,3351,"S"
"CAT",2011,"F","Nat",4,710,3.40000009536743,2686,"S"
"CAT",2011,"F","Nat",4,690,2.95000004768372,3451,"S"
"CAT",2011,"F","Nat",4,680,3,3430,"S"
"CAT",2011,"F","Nat",4,705,3.59999990463257,3926,"S"
"CAT",2012,"F","Hat",4,746,4.30000019073486,3363,"S"
"CAT",2012,"F","Hat",4,713,3.59999990463257,3617,"S"
"CAT",2012,"F","Hat",4,726,3.79999995231628,3387,"S"
"CAT",2012,"F","Hat",4,763,3.79999995231628,4020,"S"
"CAT",2012,"F","Hat",4,679,3.5,3344,"S"
"CAT",2012,"F","Hat",4,718,4,4154,"S"
"CAT",2012,"F","Hat",4,713,4.09999990463257,3726,"S"
"CAT",2012,"F","Hat",4,692,3.70000004768372,2768,"S"
"CAT",2012,"F","Hat",4,634,3,3058,"S"
"CAT",2012,"F","Hat",4,724,3.90000009536743,3532,"S"
"CAT",2012,"F","Hat",4,754,4.40000009536743,4316,"S"
"CAT",2012,"F","Hat",4,705,3.79999995231628,3740,"S"
"CAT",2012,"F","Hat",4,750,4.59999990463257,5225,"S"
"CAT",2012,"F","Hat",4,716,3.79999995231628,4188,"S"
"CAT",2012,"F","Hat",4,804,5.09999990463257,5238,"S"
"CAT",2012,"F","Hat",4,759,4.80000019073486,4390,"S"
"CAT",2012,"F","Hat",4,800,5.40000009536743,4468,"S"
"CAT",2012,"F","Hat",4,731,3.79999995231628,2888,"S"
"CAT",2012,"F","Hat",4,763,4.90000009536743,3973,"S"
"CAT",2012,"F","Hat",4,724,4.30000019073486,3868,"S"
"CAT",2012,"F","Hat",5,862,6.59999990463257,4748,"S"
"CAT",2012,"F","Hat",5,883,7.19999980926514,5702,"S"
"CAT",2012,"F","Nat",4,716,3.70000004768372,3487,"S"
"CAT",2012,"F","Nat",4,705,3.70000004768372,3346,"S"
"CAT",2012,"F","Nat",4,704,3.59999990463257,3808,"S"
"CAT",2012,"F","Nat",4,646,2.90000009536743,2925,"S"
"CAT",2012,"F","Nat",4,708,3.70000004768372,3380,"S"
"CAT",2012,"F","Nat",4,665,3.20000004768372,4330,"S"
"CAT",2012,"F","Nat",4,706,3.90000009536743,3513,"S"
"CAT",2012,"F","Nat",4,700,3.5,3573,"S"
"CAT",2012,"F","Nat",4,713,3.70000004768372,3663,"S"
"CAT",2012,"F","Nat",4,655,3.29999995231628,3536,"S"
"CAT",2012,"F","Nat",4,712,4,3569,"S"
"CAT",2012,"F","Nat",4,703,3.29999995231628,2359,"S"
"CAT",2012,"F","Nat",4,689,3.5,3318,"S"
"CAT",2012,"F","Nat",4,682,3.5,3427,"S"
"CAT",2012,"F","Nat",4,782,5,4399,"S"
"CAT",2012,"F","Nat",4,785,4.80000019073486,3919,"S"
"CAT",2012,"F","Nat",4,704,3.09999990463257,2755,"S"
"CAT",2012,"F","Nat",4,713,3.90000009536743,3329,"S"
"CAT",2012,"F","Nat",4,750,4.40000009536743,3040,"S"
"CAT",2012,"F","Nat",5,873,7.30000019073486,634,"S"
"CAT",2012,"F","Nat",5,866,6.19999980926514,6327,"S"
"CAT",2012,"F","Nat",5,862,6.19999980926514,5590,"S"
"CAT",2012,"F","Nat",5,840,6.19999980926514,4746,"S"
"CAT",2013,"F","Hat",4,648,2.5,2180,"S"
"CAT",2013,"F","Hat",4,664,3.09999990463257,3446,"S"
"CAT",2013,"F","Hat",4,700,4.09999990463257,3541,"S"
"CAT",2013,"F","Hat",4,694,3.5,4033,"S"
"CAT",2013,"F","Hat",4,682,3.40000009536743,3555,"S"
"CAT",2013,"F","Hat",4,720,3.79999995231628,3925,"S"
"CAT",2013,"F","Hat",4,664,2.70000004768372,2930,"S"
"CAT",2013,"F","Hat",4,665,3,3346,"S"
"CAT",2013,"F","Hat",4,742,4.19999980926514,3910,"S"
"CAT",2013,"F","Hat",4,653,3,2767,"S"
"CAT",2013,"F","Hat",4,667,3.09999990463257,3037,"S"
"CAT",2013,"F","Hat",4,712,3.79999995231628,4188,"S"
"CAT",2013,"F","Hat",4,628,2.59999990463257,2770,"S"
"CAT",2013,"F","Hat",4,714,3.70000004768372,3581,"S"
"CAT",2013,"F","Hat",4,741,4,4241,"S"
"CAT",2013,"F","Hat",5,808,5.09999990463257,4364,"S"
"CAT",2013,"F","Hat",5,850,5.69999980926514,3923,"S"
"CAT",2013,"F","Hat",5,796,4.69999980926514,4419,"S"
"CAT",2013,"F","Hat",5,806,5.09999990463257,3848,"S"
"CAT",2013,"F","Hat",5,800,5,3975,"S"
"CAT",2013,"F","Hat",5,821,5.59999990463257,5080,"S"
"CAT",2013,"F","Hat",5,788,4.69999980926514,4846,"S"
"CAT",2013,"F","Hat",5,836,6.30000019073486,4953,"S"
"CAT",2013,"F","Nat",4,786,5.30000019073486,4670,"S"
"CAT",2013,"F","Nat",4,702,3.70000004768372,4085,"S"
"CAT",2013,"F","Nat",4,694,3.20000004768372,3443,"S"
"CAT",2013,"F","Nat",4,724,4.30000019073486,2792,"S"
"CAT",2013,"F","Nat",4,634,2.70000004768372,2910,"S"
"CAT",2013,"F","Nat",4,666,3,3413,"S"
"CAT",2013,"F","Nat",4,771,4.69999980926514,4020,"S"
"CAT",2013,"F","Nat",4,744,4.59999990463257,4949,"S"
"CAT",2013,"F","Nat",4,693,3.5,1068,"S"
"CAT",2013,"F","Nat",4,718,3.59999990463257,3699,"S"
"CAT",2013,"F","Nat",4,750,4.69999980926514,4848,"S"
"CAT",2013,"F","Nat",4,729,3.90000009536743,4091,"S"
"CAT",2013,"F","Nat",4,687,3.5,3692,"S"
"CAT",2013,"F","Nat",4,687,3.59999990463257,3811,"S"
"CAT",2013,"F","Nat",4,852,6.59999990463257,4819,"S"
"CAT",2013,"F","Nat",4,640,2.20000004768372,1097,"S"
"CAT",2013,"F","Nat",4,673,3.70000004768372,3667,"S"
"CAT",2013,"F","Nat",4,700,3.59999990463257,3299,"S"
"CAT",2013,"F","Nat",4,770,4.19999980926514,3771,"S"
"CAT",2013,"F","Nat",4,680,3.29999995231628,4147,"S"
"CAT",2013,"F","Nat",4,736,4,4337,"S"
"CAT",2013,"F","Nat",4,668,3.70000004768372,3793,"S"
"CAT",2013,"F","Nat",5,816,5.09999990463257,4830,"S"
"CAT",2013,"F","Nat",5,826,6,4811,"S"
"CAT",2013,"F","Nat",5,807,5.19999980926514,4395,"S"
"CAT",2013,"F","Nat",5,817,5.69999980926514,4810,"S"
"CAT",2014,"F","Hat",4,726,3.84999990463257,4042,"S"
"CAT",2014,"F","Hat",4,750,4.40000009536743,5015,"S"
"CAT",2014,"F","Hat",4,747,4.59999990463257,3950,"S"
"CAT",2014,"F","Hat",4,716,3.95000004768372,4799,"S"
"CAT",2014,"F","Hat",4,795,4.69999980926514,5072,"S"
"CAT",2014,"F","Hat",4,790,5.05000019073486,4796,"S"
"CAT",2014,"F","Hat",4,765,4.19999980926514,4225,"S"
"CAT",2014,"F","Hat",4,759,4.44999980926514,4585,"S"
"CAT",2014,"F","Hat",4,767,4.55000019073486,3999,"S"
"CAT",2014,"F","Hat",4,734,4.09999990463257,4489,"S"
"CAT",2014,"F","Hat",4,775,5,5325,"S"
"CAT",2014,"F","Hat",4,796,5.55000019073486,5182,"S"
"CAT",2014,"F","Hat",4,806,5.65000009536743,4617,"S"
"CAT",2014,"F","Hat",4,737,4,3535,"S"
"CAT",2014,"F","Hat",4,754,4.69999980926514,4970,"S"
"CAT",2014,"F","Hat",4,707,4.05000019073486,4359,"S"
"CAT",2014,"F","Hat",4,749,4.19999980926514,4133,"S"
"CAT",2014,"F","Hat",4,730,4.40000009536743,4503,"S"
"CAT",2014,"F","Hat",5,838,6.05000019073486,4995,"S"
"CAT",2014,"F","Nat",4,716,4,3680,"S"
"CAT",2014,"F","Nat",4,767,4.69999980926514,3167,"S"
"CAT",2014,"F","Nat",4,780,5.05000019073486,4018,"S"
"CAT",2014,"F","Nat",4,713,4.05000019073486,3863,"S"
"CAT",2014,"F","Nat",4,680,3.25,3052,"S"
"CAT",2014,"F","Nat",4,757,4.30000019073486,4424,"S"
"CAT",2014,"F","Nat",4,718,3.54999995231628,2925,"S"
"CAT",2014,"F","Nat",4,739,4,4957,"S"
"CAT",2014,"F","Nat",4,755,4.09999990463257,4458,"S"
"CAT",2014,"F","Nat",4,808,4.94999980926514,4101,"S"
"CAT",2014,"F","Nat",4,783,5.05000019073486,4750,"S"
"CAT",2014,"F","Nat",4,707,3.65000009536743,4809,"S"
"CAT",2014,"F","Nat",4,740,4.19999980926514,3732,"S"
"CAT",2014,"F","Nat",4,790,5.15000009536743,5096,"S"
"CAT",2014,"F","Nat",4,707,3.90000009536743,3979,"S"
"CAT",2014,"F","Nat",4,732,3.84999990463257,3681,"S"
"CAT",2014,"F","Nat",4,685,3.25,3522,"S"
"CAT",2014,"F","Nat",4,694,3.95000004768372,3037,"S"
"CAT",2014,"F","Nat",4,702,3.65000009536743,3969,"S"
"CAT",2014,"F","Nat",4,718,3.65000009536743,3923,"S"
"CAT",2014,"F","Nat",4,735,4,3639,"S"
"CAT",2014,"F","Nat",4,749,4.30000019073486,4324,"S"
"CAT",2014,"F","Nat",4,714,3.70000004768372,3695,"S"
"CAT",2014,"F","Nat",5,883,6.75,5295,"S"
"CAT",2014,"F","Nat",5,744,6.44999980926514,5748,"S"
"CAT",2015,"F","Hat",4,770,NA,4797,"S"
"CAT",2015,"F","Hat",4,805,4.75,4017,"S"
"CAT",2015,"F","Hat",4,731,3.84999990463257,3744,"S"
"CAT",2015,"F","Hat",4,687,3.54999995231628,3388,"S"
"CAT",2015,"F","Hat",4,708,3.90000009536743,4399,"S"
"CAT",2015,"F","Hat",4,756,4.09999990463257,4106,"S"
"CAT",2015,"F","Hat",4,803,5.34999990463257,5233,"S"
"CAT",2015,"F","Hat",4,732,3.84999990463257,4718,"S"
"CAT",2015,"F","Hat",4,703,3.84999990463257,4209,"S"
"CAT",2015,"F","Hat",4,660,3.15000009536743,3176,"S"
"CAT",2015,"F","Hat",4,700,3.5,4564,"S"
"CAT",2015,"F","Hat",4,780,4.94999980926514,4592,"S"
"CAT",2015,"F","Hat",4,769,4.59999990463257,4367,"S"
"CAT",2015,"F","Hat",4,760,4.5,4683,"S"
"CAT",2015,"F","Hat",4,790,5.65000009536743,4559,"S"
"CAT",2015,"F","Hat",4,790,4.69999980926514,5195,"S"
"CAT",2015,"F","Hat",4,730,3.75,4662,"S"
"CAT",2015,"F","Hat",4,752,4.15000009536743,3825,"S"
"CAT",2015,"F","Hat",4,727,4.40000009536743,4507,"S"
"CAT",2015,"F","Hat",4,726,4.15000009536743,4021,"S"
"CAT",2015,"F","Hat",4,780,5.15000009536743,5349,"S"
"CAT",2015,"F","Hat",4,726,4.40000009536743,4602,"S"
"CAT",2015,"F","Hat",4,715,3.70000004768372,3701,"S"
"CAT",2015,"F","Hat",4,746,4.15000009536743,4034,"S"
"CAT",2015,"F","Hat",4,705,3.45000004768372,3827,"S"
"CAT",2015,"F","Hat",4,766,4.30000019073486,4373,"S"
"CAT",2015,"F","Hat",4,678,3.54999995231628,3962,"S"
"CAT",2015,"F","Hat",4,711,3.45000004768372,3583,"S"
"CAT",2015,"F","Hat",4,780,5,5244,"S"
"CAT",2015,"F","Hat",4,730,3.90000009536743,3469,"S"
"CAT",2015,"F","Hat",4,767,4.55000019073486,4049,"S"
"CAT",2015,"F","Hat",4,740,4.15000009536743,4111,"S"
"CAT",2015,"F","Hat",5,810,5.44999980926514,5143,"S"
"CAT",2015,"F","Nat",4,726,3.90000009536743,4705,"S"
"CAT",2015,"F","Nat",4,716,3.79999995231628,3607,"S"
"CAT",2015,"F","Nat",4,694,3.90000009536743,4760,"S"
"CAT",2015,"F","Nat",4,855,6.09999990463257,5738,"S"
"CAT",2015,"F","Nat",4,715,3.84999990463257,3691,"S"
"CAT",2015,"F","Nat",4,785,3.34999990463257,4067,"S"
"CAT",2015,"F","Nat",4,680,3.29999995231628,3212,"S"
"CAT",2015,"F","Nat",4,695,3.15000009536743,3245,"S"
"CAT",2015,"F","Nat",4,720,3.45000004768372,3523,"S"
"CAT",2015,"F","Nat",4,686,3.59999990463257,3157,"S"
"CAT",2015,"F","Nat",4,721,4.05000019073486,4487,"S"
"CAT",2015,"F","Nat",4,758,4.69999980926514,4321,"S"
"CAT",2015,"F","Nat",4,735,4.19999980926514,5333,"S"
"CAT",2015,"F","Nat",5,899,NA,5457,"S"
"CAT",2015,"F","Nat",5,873,6.30000019073486,5338,"S"
"CAT",2015,"F","Nat",5,852,6.40000009536743,4105,"S"
"CAT",2015,"F","Nat",5,843,6.15000009536743,5663,"S"
"CAT",2015,"F","Nat",5,818,5.5,4545,"S"
"CAT",2015,"F","Nat",5,855,6.05000019073486,5842,"S"
"CAT",2015,"F","Nat",5,878,6.44999980926514,6104,"S"
"CAT",2016,"F","Hat",4,704,3.70000004768372,3421,"S"
"CAT",2016,"F","Hat",4,748,4.30000019073486,4327,"S"
"CAT",2016,"F","Hat",4,732,4,4189,"S"
"CAT",2016,"F","Hat",4,790,4.69999980926514,2980,"S"
"CAT",2016,"F","Hat",4,700,3.29999995231628,3327,"S"
"CAT",2016,"F","Hat",4,745,4.30000019073486,4170,"S"
"CAT",2016,"F","Hat",4,745,4.40000009536743,4332,"S"
"CAT",2016,"F","Hat",4,715,4.19999980926514,5161,"S"
"CAT",2016,"F","Hat",4,745,4,2912,"S"
"CAT",2016,"F","Hat",4,715,3.79999995231628,4093,"S"
"CAT",2016,"F","Hat",4,750,4.30000019073486,3227,"S"
"CAT",2016,"F","Hat",4,703,3.29999995231628,4007,"S"
"CAT",2016,"F","Hat",4,710,3.09999990463257,3529,"S"
"CAT",2016,"F","Hat",5,864,5.90000009536743,5448,"S"
"CAT",2016,"F","Hat",5,813,5.09999990463257,4038,"S"
"CAT",2016,"F","Hat",5,780,4.80000019073486,4517,"S"
"CAT",2016,"F","Nat",4,681,2.70000004768372,3394,"S"
"CAT",2016,"F","Nat",4,707,3.79999995231628,3422,"S"
"CAT",2016,"F","Nat",4,743,4.09999990463257,4209,"S"
"CAT",2016,"F","Nat",4,792,5.09999990463257,5585,"S"
"CAT",2016,"F","Nat",4,710,3.5,2906,"S"
"CAT",2016,"F","Nat",4,687,2.90000009536743,3565,"S"
"CAT",2016,"F","Nat",4,718,3.70000004768372,3915,"S"
"CAT",2016,"F","Nat",4,745,3.90000009536743,4537,"S"
"CAT",2016,"F","Nat",4,725,4,4065,"S"
"CAT",2016,"F","Nat",4,705,3.59999990463257,3924,"S"
"CAT",2016,"F","Nat",4,749,4.19999980926514,3979,"S"
"CAT",2016,"F","Nat",4,710,3.29999995231628,3251,"S"
"CAT",2016,"F","Nat",4,700,3.5,4011,"S"
"CAT",2016,"F","Nat",4,788,5.09999990463257,5034,"S"
"CAT",2016,"F","Nat",4,679,2.90000009536743,2222,"S"
"CAT",2016,"F","Nat",4,641,2.79999995231628,3077,"S"
"CAT",2016,"F","Nat",4,680,2.70000004768372,3088,"S"
"CAT",2016,"F","Nat",4,705,3.5,3742,"S"
"CAT",2016,"F","Nat",5,875,6.90000009536743,5450,"S"
"CAT",2016,"F","Nat",5,856,6.19999980926514,5458,"S"
"CAT",2016,"F","Nat",5,837,5.90000009536743,4699,"S"
"CAT",2016,"F","Nat",5,874,6.59999990463257,6122,"S"
"CAT",2017,"F","Hat",4,768,4.90000009536743,5350,"S"
"CAT",2017,"F","Hat",4,731,3.59999990463257,4085,"S"
"CAT",2017,"F","Hat",4,719,3.70000004768372,3996,"S"
"CAT",2017,"F","Hat",4,783,5.5,5725,"S"
"CAT",2017,"F","Hat",4,710,3.70000004768372,4733,"S"
"CAT",2017,"F","Hat",4,704,3.5,4100,"S"
"CAT",2017,"F","Hat",4,794,4.59999990463257,3703,"S"
"CAT",2017,"F","Hat",4,719,3.5,3796,"S"
"CAT",2017,"F","Hat",4,705,3.5,2980,"S"
"CAT",2017,"F","Hat",4,683,3,3660,"S"
"CAT",2017,"F","Hat",4,714,3.90000009536743,3981,"S"
"CAT",2017,"F","Hat",4,729,4,3674,"S"
"CAT",2017,"F","Hat",4,742,4.09999990463257,4162,"S"
"CAT",2017,"F","Hat",4,815,5.19999980926514,4963,"S"
"CAT",2017,"F","Hat",4,714,3.70000004768372,3414,"S"
"CAT",2017,"F","Hat",4,745,3.90000009536743,3744,"S"
"CAT",2017,"F","Hat",4,734,3.59999990463257,4342,"S"
"CAT",2017,"F","Hat",4,724,3.29999995231628,3800,"S"
"CAT",2017,"F","Hat",4,685,3.09999990463257,3283,"S"
"CAT",2017,"F","Hat",4,725,3.40000009536743,3531,"S"
"CAT",2017,"F","Hat",4,730,3.79999995231628,2995,"S"
"CAT",2017,"F","Hat",4,750,4.30000019073486,3838,"S"
"CAT",2017,"F","Hat",4,738,4.30000019073486,2618,"S"
"CAT",2017,"F","Hat",4,735,4,4514,"S"
"CAT",2017,"F","Hat",4,755,4.19999980926514,4270,"S"
"CAT",2017,"F","Hat",4,725,4,4027,"S"
"CAT",2017,"F","Hat",4,750,4.40000009536743,3854,"S"
"CAT",2017,"F","Hat",4,742,3.70000004768372,2871,"S"
"CAT",2017,"F","Hat",4,708,3.59999990463257,3536,"S"
"CAT",2017,"F","Hat",4,758,3.90000009536743,4561,"S"
"CAT",2017,"F","Hat",4,720,3.5,3293,"S"
"CAT",2017,"F","Hat",4,725,3.90000009536743,3626,"S"
"CAT",2017,"F","Hat",4,643,2.5,2791,"S"
"CAT",2017,"F","Hat",5,872,6.19999980926514,5194,"S"
"CAT",2017,"F","Nat",4,683,3.40000009536743,3001,"S"
"CAT",2017,"F","Nat",4,673,3.09999990463257,3752,"S"
"CAT",2017,"F","Nat",4,704,3.09999990463257,3840,"S"
"CAT",2017,"F","Nat",4,686,3.09999990463257,2593,"S"
"CAT",2017,"F","Nat",4,698,3.5,3969,"S"
"CAT",2017,"F","Nat",4,688,2.79999995231628,2416,"S"
"CAT",2017,"F","Nat",4,752,3.90000009536743,3194,"S"
"CAT",2017,"F","Nat",4,645,2.59999990463257,3020,"S"
"CAT",2017,"F","Nat",5,830,6.19999980926514,4502,"S"
"CAT",2017,"F","Nat",5,828,6.09999990463257,5565,"S"
"CAT",2017,"F","Nat",5,870,6.80000019073486,4829,"S"
