"population","year","sex","prespawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
