population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,2001,2001-06-29,1,M,Nat,713,removed,Adult,4,NA,NA,NA,4,FALSE,,"Scar on dorsal nose, apporx .25"" circle"
CAT,2001,2001-06-29,1,M,Hat,447,removed,Adult,3,3,NA,NA,3,FALSE,,"LOP gone on bottom, erosion btw pecs (head burn?), scar above left lat. line 2"" long 1.5"" high "
CAT,2001,2001-06-29,1,M,Hat,497,removed,Adult,3,3,NA,NA,3,FALSE,,"Small scar below jaw, lamprey scar next to anal fin"
CAT,2001,2001-06-29,1,M,Hat,450,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-30,1,F,Nat,856,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Left nasal passage completely exposed by 2.5"" long scar"
CAT,2001,2001-06-30,1,M,Nat,756,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Scrape - front of anal fin
CAT,2001,2001-07-02,1,M,Hat,478,removed,Adult,3,NA,NA,NA,3,FALSE,,"6"" long 0.5-1"" wide open sore"
CAT,2001,2001-07-02,1,M,Hat,517,removed,Adult,3,NA,NA,NA,3,FALSE,,"1-3"" open sore ventral side by pec fin, puncture wound by dorsal fin"
CAT,2001,2001-07-02,1,M,Nat,570,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-07-02,1,M,Nat,527,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,"Large gash right hand side of head by eye.  Left pectoral .66"" of front edge eroded."
CAT,2001,2001-07-02,1,M,Hat,487,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-07-03,1,M,Nat,595,removed,Adult,3,NA,NA,NA,3,FALSE,,"Field sheet and data sheet conflict for FL and PITtag (last 4 may be ""B928"")"
CAT,2001,2001-07-03,1,M,Hat,491,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-07-03,1,F,Nat,659,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Left nose scrape
CAT,2001,2001-07-04,1,M,Hat,495,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-07-05,1,M,Hat,427,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-07-05,1,F,Nat,743,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Scrape left side 1.5"" in front of tail.  Hemmoraging on left side."
